# From the ALMA OT Sens calculator, 6th octile (2.748mm)
#Freq Tsys
125.0 102.990
125.5 101.764
126.0 97.670
126.5 95.746
127.0 94.291
127.5 93.151
128.0 92.337
128.5 91.563
128.75 91.067
128.8 90.989
129.0 90.713
129.5 90.131
129.75 89.887
130.0 89.662
131.0 89.052
132.0 88.451
133.0 88.118
134.0 87.891
135.0 87.750
136.0 87.732
137.0 88.065
138.0 87.840
139.0 87.874
140.0 88.053
141.0 88.243
141.5 88.522
141.75 88.921
141.8 89.047
141.9 89.497
142.0 90.473
142.25 95.289
142.3 91.550
142.4 90.008
142.5 89.424
143.0 88.868
144.0 89.025
145.0 90.820
145.1 89.856
145.2 89.553
145.3 89.430
145.5 89.350
146.0 89.366
147.0 89.633
148.0 89.995
148.1 90.049
148.2 90.098
148.25 90.131
148.5 90.391
149.0 90.560
150.0 90.710
150.5 90.908
150.55 90.930
150.57 90.938
150.575 90.940
150.6 90.951
150.75 91.016
151.0 91.128
152.0 91.577
153.0 92.077
154.0 94.672
155.0 93.123
156.0 93.768
157.0 94.338
158.0 95.038
159.0 95.818
160.0 96.681
161.0 97.630
162.0 98.707
162.5 99.295
163.0 99.924
