# From the ALMA OT Sens calculator, 4th octile (1.262mm) at zenith
#Freq Tsys
211.0 93.386
213.0 92.653
215.0 98.428
217.0 92.703
219.0 92.813
221.0 92.986
223.0 93.240
225.0 93.760
227.0 93.984
229.0 94.205
230.0 94.562
230.5 94.831
231.0 96.508
231.1 98.074
231.15 100.441
231.2 102.843
231.25 109.462
231.3 116.324
231.35 108.183
231.4 100.389
231.5 97.518
231.6 96.468
232.0 95.620
233.0 96.631
235.0 97.365
236.0 98.023
236.5 96.495
236.8 97.435
236.9 98.738
237.0 101.843
237.1 114.269
237.2 112.259
237.3 101.532
237.4 98.654
237.5 97.555
238.0 96.335
238.5 97.121
239.0 106.031
239.5 98.296
240.0 97.658
241.0 96.924
243.0 98.550
245.0 96.888
247.0 97.446
249.0 98.761
249.5 100.951
250.0 120.996
250.5 99.391
251.0 98.126
253.0 98.421
255.0 99.052
257.0 99.405
258.0 100.552
259.0 102.138
260.0 100.087
261.0 100.295
262.0 100.688
263.0 102.652
265.0 103.514
267.0 104.069
268.0 102.557
269.0 102.375
271.0 103.056
272.0 103.480
272.5 104.117
272.8 106.019
272.9 108.402
272.95 112.886
272.975 115.168
273.0 117.478
273.1 117.906
273.2 108.608
273.3 106.276
273.4 105.312
273.5 104.859
274.0 104.681
275.0 104.601
