# From the ALMA OT Sens calculator, 3rd octile (0.913mm) at dec=0
#Freq Tsys
275.0 98.712
275.5 121.087
276.0 121.227
277.0 124.511
279.0 122.215
281.0 123.244
283.0 123.942
285.0 123.973
287.0 125.465
288.0 125.227
288.5 126.727
288.8 133.184
288.9 146.860
289.0 154.518
289.1 134.643
289.5 126.585
290.0 125.525
291.0 127.731
293.0 130.429
295.0 127.296
297.0 128.762
299.0 131.325
301.0 131.702
303.0 137.020
305.0 133.217
307.0 133.964
309.0 136.111
311.0 138.855
313.0 142.594
315.0 148.848
317.0 160.224
319.0 180.204
321.0 247.729
323.0 494.109
323.5 719.529
324.0 1210.317
324.5 2337.702
325.0 4066.703
325.5 3478.010
326.0 1829.611
327.0 674.328
328.0 353.307
329.0 256.039
331.0 191.879
333.0 180.378
335.0 162.836
337.0 157.788
339.0 155.871
341.0 155.427
343.0 157.887
345.0 157.027
347.0 158.730
349.0 161.175
351.0 164.423
353.0 173.919
355.0 170.405
355.0 198.260
356.0 175.862
357.0 179.747
358.0 189.412
359.0 208.557
360.0 194.077
361.0 197.862
363.0 215.299
365.0 248.960
366.0 278.178
367.0 368.372
368.0 1015.515
369.0 1093.395
370.0 469.616
371.0 507.809
372.0 512.006
373.0 642.557
